number,date,close_index
5043,2007-05-21,20927.750000
5044,2007-05-22,20843.919922
5045,2007-05-23,20798.970703
5046,2007-05-25,20520.660156
5047,2007-05-28,20529.759766
5048,2007-05-29,20469.589844
5049,2007-05-30,20293.759766
5050,2007-05-31,20634.470703
5051,2007-06-01,20602.869141
5052,2007-06-04,20729.589844
5053,2007-06-05,20842.150391
5054,2007-06-06,20818.609375
5055,2007-06-07,20800.160156
5056,2007-06-08,20509.150391
5057,2007-06-11,20615.490234
5058,2007-06-12,20636.390625
5059,2007-06-13,20578.750000
5060,2007-06-14,20867.259766
5061,2007-06-15,21017.050781
5062,2007-06-18,21582.890625
5063,2007-06-20,21684.669922
5064,2007-06-21,21954.669922
5065,2007-06-22,21999.910156
5066,2007-06-25,21822.349609
5067,2007-06-26,21803.570313
5068,2007-06-27,21705.560547
5069,2007-06-28,21938.220703
5070,2007-06-29,21772.730469
5071,2007-07-03,22151.140625
5072,2007-07-04,22218.550781
5073,2007-07-05,22252.990234
5074,2007-07-06,22531.740234
5075,2007-07-09,22817.429688
5076,2007-07-10,22885.839844
5077,2007-07-11,22607.019531
5078,2007-07-12,22809.019531
5079,2007-07-13,23099.289063
5080,2007-07-16,22953.939453
5081,2007-07-17,23057.300781
5082,2007-07-18,22841.919922
5083,2007-07-19,23016.199219
5084,2007-07-20,23291.900391
5085,2007-07-23,23365.560547
5086,2007-07-24,23472.880859
5087,2007-07-25,23362.179688
5088,2007-07-26,23211.689453
5089,2007-07-27,22570.410156
5090,2007-07-30,22739.900391
5091,2007-07-31,23184.939453
5092,2007-08-01,22455.359375
5093,2007-08-02,22443.250000
5094,2007-08-03,22538.439453
5095,2007-08-06,21936.730469
5096,2007-08-07,21907.990234
5097,2007-08-08,22536.669922
5098,2007-08-09,22439.359375
5099,2007-08-10,21792.710938
5100,2007-08-13,21891.099609
5101,2007-08-14,22007.320313
5102,2007-08-15,21375.720703
5103,2007-08-16,20672.390625
5104,2007-08-17,20387.130859
5105,2007-08-20,21595.630859
5106,2007-08-21,21729.349609
5107,2007-08-22,22346.880859
5108,2007-08-23,22966.970703
5109,2007-08-24,22921.890625
5110,2007-08-27,23577.730469
5111,2007-08-28,23363.759766
5112,2007-08-29,23020.599609
5113,2007-08-30,23484.539063
5114,2007-08-31,23984.140625
5115,2007-09-03,23904.089844
5116,2007-09-04,23886.070313
5117,2007-09-05,24069.169922
5118,2007-09-06,24050.400391
5119,2007-09-07,23982.609375
5120,2007-09-10,23999.699219
5121,2007-09-11,23952.240234
5122,2007-09-12,24310.140625
5123,2007-09-13,24537.019531
5124,2007-09-14,24898.109375
5125,2007-09-17,24599.339844
5126,2007-09-18,24576.849609
